title,indicator_name,neighborhood,% reported good or excellent
Climate and Health,Vegetative cover,Kingsbridge - Riverdale,61.9
Climate and Health,Vegetative cover,Northeast Bronx,34.3
Climate and Health,Vegetative cover,Fordham - Bronx Pk,38.2
Climate and Health,Vegetative cover,Pelham - Throgs Neck,42.4
Climate and Health,Vegetative cover,Crotona -Tremont,30.9
Climate and Health,Vegetative cover,High Bridge - Morrisania,18.2
Climate and Health,Vegetative cover,Hunts Point - Mott Haven,16
Climate and Health,Vegetative cover,Greenpoint,12.1
Climate and Health,Vegetative cover,Downtown - Heights - Slope,19.6
Climate and Health,Vegetative cover,Bedford Stuyvesant - Crown Heights,23.5
Climate and Health,Vegetative cover,East New York,27.1
Climate and Health,Vegetative cover,Sunset Park,26.5
Climate and Health,Vegetative cover,Borough Park,20.3
Climate and Health,Vegetative cover,East Flatbush - Flatbush,28.2
Climate and Health,Vegetative cover,Canarsie - Flatlands,40.3
Climate and Health,Vegetative cover,Bensonhurst - Bay Ridge,24.7
Climate and Health,Vegetative cover,Coney Island - Sheepshead Bay,22.7
Climate and Health,Vegetative cover,Williamsburg - Bushwick,16.8
Climate and Health,Vegetative cover,Washington Heights,33
Climate and Health,Vegetative cover,Central Harlem - Morningside Heights,26.8
Climate and Health,Vegetative cover,East Harlem,30.2
Climate and Health,Vegetative cover,Upper West Side,26.7
Climate and Health,Vegetative cover,Upper East Side,20.2
Climate and Health,Vegetative cover,Chelsea - Clinton,7.8
Climate and Health,Vegetative cover,Gramercy Park - Murray Hill,10.9
Climate and Health,Vegetative cover,Greenwich Village - SoHo,9.7
Climate and Health,Vegetative cover,Union Square - Lower East Side,24.1
Climate and Health,Vegetative cover,Lower Manhattan,22.6
Climate and Health,Vegetative cover,Long Island City - Astoria,17
Climate and Health,Vegetative cover,West Queens,23.2
Climate and Health,Vegetative cover,Flushing - Clearview,35.2
Climate and Health,Vegetative cover,Bayside - Little Neck,52
Climate and Health,Vegetative cover,Ridgewood - Forest Hills,43.9
Climate and Health,Vegetative cover,Fresh Meadows,44.3
Climate and Health,Vegetative cover,Southwest Queens,27.8
Climate and Health,Vegetative cover,Jamaica,31.1
Climate and Health,Vegetative cover,Southeast Queens,39.2
Climate and Health,Vegetative cover,Rockaways,35.8
Climate and Health,Vegetative cover,Port Richmond,35.8
Climate and Health,Vegetative cover,Stapleton - St. George,48.5
Climate and Health,Vegetative cover,Willowbrook,59.1
Climate and Health,Vegetative cover,South Beach - Tottenville,55.2
Climate and Health,Vegetative cover,Kingsbridge - Riverdale,63
Climate and Health,Vegetative cover,Northeast Bronx,36
Climate and Health,Vegetative cover,Fordham - Bronx Pk,40
Climate and Health,Vegetative cover,Pelham - Throgs Neck,46
Climate and Health,Vegetative cover,Crotona -Tremont,32
Climate and Health,Vegetative cover,High Bridge - Morrisania,21
Climate and Health,Vegetative cover,Hunts Point - Mott Haven,18
Climate and Health,Vegetative cover,Greenpoint,14
Climate and Health,Vegetative cover,Downtown - Heights - Slope,22
Climate and Health,Vegetative cover,Bedford Stuyvesant - Crown Heights,25
Climate and Health,Vegetative cover,East New York,29
Climate and Health,Vegetative cover,Sunset Park,29
Climate and Health,Vegetative cover,Borough Park,24
Climate and Health,Vegetative cover,East Flatbush - Flatbush,30
Climate and Health,Vegetative cover,Canarsie - Flatlands,41
Climate and Health,Vegetative cover,Bensonhurst - Bay Ridge,28
Climate and Health,Vegetative cover,Coney Island - Sheepshead Bay,23
Climate and Health,Vegetative cover,Williamsburg - Bushwick,18
Climate and Health,Vegetative cover,Washington Heights,35
Climate and Health,Vegetative cover,Central Harlem - Morningside Heights,29
Climate and Health,Vegetative cover,East Harlem,31
Climate and Health,Vegetative cover,Upper West Side,29
Climate and Health,Vegetative cover,Upper East Side,22
Climate and Health,Vegetative cover,Chelsea - Clinton,11
Climate and Health,Vegetative cover,Gramercy Park - Murray Hill,13
Climate and Health,Vegetative cover,Greenwich Village - SoHo,13
Climate and Health,Vegetative cover,Union Square - Lower East Side,25
Climate and Health,Vegetative cover,Lower Manhattan,24
Climate and Health,Vegetative cover,Long Island City - Astoria,18
Climate and Health,Vegetative cover,West Queens,24
Climate and Health,Vegetative cover,Flushing - Clearview,38
Climate and Health,Vegetative cover,Bayside - Little Neck,55
Climate and Health,Vegetative cover,Ridgewood - Forest Hills,45
Climate and Health,Vegetative cover,Fresh Meadows,46
Climate and Health,Vegetative cover,Southwest Queens,29
Climate and Health,Vegetative cover,Jamaica,35
Climate and Health,Vegetative cover,Southeast Queens,44
Climate and Health,Vegetative cover,Rockaways,37
Climate and Health,Vegetative cover,Port Richmond,41
Climate and Health,Vegetative cover,Stapleton - St. George,51
Climate and Health,Vegetative cover,Willowbrook,61
Climate and Health,Vegetative cover,South Beach - Tottenville,59
Climate and Health,Serious psychological distress,Kingsbridge - Riverdale,1.2
Climate and Health,Serious psychological distress,Northeast Bronx,5.7
Climate and Health,Serious psychological distress,Fordham - Bronx Pk,4.7
Climate and Health,Serious psychological distress,Pelham - Throgs Neck,9
Climate and Health,Serious psychological distress,Crotona -Tremont,7.9
Climate and Health,Serious psychological distress,High Bridge - Morrisania,7.9
Climate and Health,Serious psychological distress,Hunts Point - Mott Haven,7.9
Climate and Health,Serious psychological distress,Greenpoint,9.8
Climate and Health,Serious psychological distress,Downtown - Heights - Slope,2.5
Climate and Health,Serious psychological distress,Bedford Stuyvesant - Crown Heights,2.1
Climate and Health,Serious psychological distress,East New York,2.3
Climate and Health,Serious psychological distress,Sunset Park,1.3
Climate and Health,Serious psychological distress,Borough Park,7.4
Climate and Health,Serious psychological distress,East Flatbush - Flatbush,6.1
Climate and Health,Serious psychological distress,Canarsie - Flatlands,4.8
Climate and Health,Serious psychological distress,Bensonhurst - Bay Ridge,9.1
Climate and Health,Serious psychological distress,Coney Island - Sheepshead Bay,10.8
Climate and Health,Serious psychological distress,Williamsburg - Bushwick,8.6
Climate and Health,Serious psychological distress,Washington Heights,4.1
Climate and Health,Serious psychological distress,Central Harlem - Morningside Heights,NA
Climate and Health,Serious psychological distress,East Harlem,NA
Climate and Health,Serious psychological distress,Upper West Side,NA
Climate and Health,Serious psychological distress,Upper East Side,5.3
Climate and Health,Serious psychological distress,Chelsea - Clinton,4.7
Climate and Health,Serious psychological distress,Gramercy Park - Murray Hill,5.3
Climate and Health,Serious psychological distress,Greenwich Village - SoHo,4.7
Climate and Health,Serious psychological distress,Union Square - Lower East Side,6.8
Climate and Health,Serious psychological distress,Lower Manhattan,6.8
Climate and Health,Serious psychological distress,Long Island City - Astoria,4.3
Climate and Health,Serious psychological distress,West Queens,7.7
Climate and Health,Serious psychological distress,Flushing - Clearview,NA
Climate and Health,Serious psychological distress,Bayside - Little Neck,1.4
Climate and Health,Serious psychological distress,Ridgewood - Forest Hills,2.8
Climate and Health,Serious psychological distress,Fresh Meadows,1.4
Climate and Health,Serious psychological distress,Southwest Queens,4.9
Climate and Health,Serious psychological distress,Jamaica,5.1
Climate and Health,Serious psychological distress,Southeast Queens,1.5
Climate and Health,Serious psychological distress,Rockaways,NA
Climate and Health,Serious psychological distress,Port Richmond,1.7
Climate and Health,Serious psychological distress,Stapleton - St. George,1.7
Climate and Health,Serious psychological distress,Willowbrook,7.1
Climate and Health,Serious psychological distress,South Beach - Tottenville,7.1
Climate and Health,Independent living difficulty (adults),Kingsbridge - Riverdale,5.71
Climate and Health,Independent living difficulty (adults),Northeast Bronx,5.83
Climate and Health,Independent living difficulty (adults),Fordham - Bronx Pk,6.13
Climate and Health,Independent living difficulty (adults),Pelham - Throgs Neck,6.09
Climate and Health,Independent living difficulty (adults),Crotona -Tremont,7.49
Climate and Health,Independent living difficulty (adults),High Bridge - Morrisania,7.15
Climate and Health,Independent living difficulty (adults),Hunts Point - Mott Haven,8.44
Climate and Health,Independent living difficulty (adults),Greenpoint,4.37
Climate and Health,Independent living difficulty (adults),Downtown - Heights - Slope,3.8
Climate and Health,Independent living difficulty (adults),Bedford Stuyvesant - Crown Heights,5.27
Climate and Health,Independent living difficulty (adults),East New York,5.2
Climate and Health,Independent living difficulty (adults),Sunset Park,4.83
Climate and Health,Independent living difficulty (adults),Borough Park,6.52
Climate and Health,Independent living difficulty (adults),East Flatbush - Flatbush,4.2
Climate and Health,Independent living difficulty (adults),Canarsie - Flatlands,5.54
Climate and Health,Independent living difficulty (adults),Bensonhurst - Bay Ridge,6.47
Climate and Health,Independent living difficulty (adults),Coney Island - Sheepshead Bay,10.24
Climate and Health,Independent living difficulty (adults),Williamsburg - Bushwick,5.86
Climate and Health,Independent living difficulty (adults),Washington Heights,5.88
Climate and Health,Independent living difficulty (adults),Central Harlem - Morningside Heights,5.93
Climate and Health,Independent living difficulty (adults),East Harlem,7.06
Climate and Health,Independent living difficulty (adults),Upper West Side,4.18
Climate and Health,Independent living difficulty (adults),Upper East Side,2.96
Climate and Health,Independent living difficulty (adults),Chelsea - Clinton,3.14
Climate and Health,Independent living difficulty (adults),Gramercy Park - Murray Hill,3.09
Climate and Health,Independent living difficulty (adults),Greenwich Village - SoHo,3.01
Climate and Health,Independent living difficulty (adults),Union Square - Lower East Side,5.5
Climate and Health,Independent living difficulty (adults),Lower Manhattan,3.41
Climate and Health,Independent living difficulty (adults),Long Island City - Astoria,4.76
Climate and Health,Independent living difficulty (adults),West Queens,3.84
Climate and Health,Independent living difficulty (adults),Flushing - Clearview,5.02
Climate and Health,Independent living difficulty (adults),Bayside - Little Neck,4.95
Climate and Health,Independent living difficulty (adults),Ridgewood - Forest Hills,5.25
Climate and Health,Independent living difficulty (adults),Fresh Meadows,4.93
Climate and Health,Independent living difficulty (adults),Southwest Queens,5.6
Climate and Health,Independent living difficulty (adults),Jamaica,5.45
Climate and Health,Independent living difficulty (adults),Southeast Queens,4.87
Climate and Health,Independent living difficulty (adults),Rockaways,7.35
Climate and Health,Independent living difficulty (adults),Port Richmond,4.82
Climate and Health,Independent living difficulty (adults),Stapleton - St. George,6.63
Climate and Health,Independent living difficulty (adults),Willowbrook,5.97
Climate and Health,Independent living difficulty (adults),South Beach - Tottenville,4.8
Climate and Health,Independent living difficulty (adults),Kingsbridge - Riverdale,5.7
Climate and Health,Independent living difficulty (adults),Northeast Bronx,5.8
Climate and Health,Independent living difficulty (adults),Fordham - Bronx Pk,6.1
Climate and Health,Independent living difficulty (adults),Pelham - Throgs Neck,6.1
Climate and Health,Independent living difficulty (adults),Crotona -Tremont,7.5
Climate and Health,Independent living difficulty (adults),High Bridge - Morrisania,7.1
Climate and Health,Independent living difficulty (adults),Hunts Point - Mott Haven,8.4
Climate and Health,Independent living difficulty (adults),Greenpoint,4.4
Climate and Health,Independent living difficulty (adults),Downtown - Heights - Slope,3.8
Climate and Health,Independent living difficulty (adults),Bedford Stuyvesant - Crown Heights,5.3
Climate and Health,Independent living difficulty (adults),East New York,5.2
Climate and Health,Independent living difficulty (adults),Sunset Park,4.8
Climate and Health,Independent living difficulty (adults),Borough Park,6.5
Climate and Health,Independent living difficulty (adults),East Flatbush - Flatbush,4.2
Climate and Health,Independent living difficulty (adults),Canarsie - Flatlands,5.5
Climate and Health,Independent living difficulty (adults),Bensonhurst - Bay Ridge,6.5
Climate and Health,Independent living difficulty (adults),Coney Island - Sheepshead Bay,10.2
Climate and Health,Independent living difficulty (adults),Williamsburg - Bushwick,5.9
Climate and Health,Independent living difficulty (adults),Washington Heights,5.9
Climate and Health,Independent living difficulty (adults),Central Harlem - Morningside Heights,5.9
Climate and Health,Independent living difficulty (adults),East Harlem,7.1
Climate and Health,Independent living difficulty (adults),Upper West Side,4.2
Climate and Health,Independent living difficulty (adults),Upper East Side,3
Climate and Health,Independent living difficulty (adults),Chelsea - Clinton,3.1
Climate and Health,Independent living difficulty (adults),Gramercy Park - Murray Hill,3.1
Climate and Health,Independent living difficulty (adults),Greenwich Village - SoHo,3
Climate and Health,Independent living difficulty (adults),Union Square - Lower East Side,5.5
Climate and Health,Independent living difficulty (adults),Lower Manhattan,3.4
Climate and Health,Independent living difficulty (adults),Long Island City - Astoria,4.8
Climate and Health,Independent living difficulty (adults),West Queens,3.8
Climate and Health,Independent living difficulty (adults),Flushing - Clearview,5
Climate and Health,Independent living difficulty (adults),Bayside - Little Neck,4.9
Climate and Health,Independent living difficulty (adults),Ridgewood - Forest Hills,5.3
Climate and Health,Independent living difficulty (adults),Fresh Meadows,4.9
Climate and Health,Independent living difficulty (adults),Southwest Queens,5.6
Climate and Health,Independent living difficulty (adults),Jamaica,5.5
Climate and Health,Independent living difficulty (adults),Southeast Queens,4.8
Climate and Health,Independent living difficulty (adults),Rockaways,7.4
Climate and Health,Independent living difficulty (adults),Port Richmond,4.8
Climate and Health,Independent living difficulty (adults),Stapleton - St. George,6.6
Climate and Health,Independent living difficulty (adults),Willowbrook,6
Climate and Health,Independent living difficulty (adults),South Beach - Tottenville,4.8
Climate and Health,Independent living difficulty (adults),Kingsbridge - Riverdale,5.98
Climate and Health,Independent living difficulty (adults),Northeast Bronx,5.71
Climate and Health,Independent living difficulty (adults),Fordham - Bronx Pk,6.11
Climate and Health,Independent living difficulty (adults),Pelham - Throgs Neck,6.49
Climate and Health,Independent living difficulty (adults),Crotona -Tremont,7.25
Climate and Health,Independent living difficulty (adults),High Bridge - Morrisania,6.76
Climate and Health,Independent living difficulty (adults),Hunts Point - Mott Haven,8.37
Climate and Health,Independent living difficulty (adults),Greenpoint,4.16
Climate and Health,Independent living difficulty (adults),Downtown - Heights - Slope,3.74
Climate and Health,Independent living difficulty (adults),Bedford Stuyvesant - Crown Heights,5.03
Climate and Health,Independent living difficulty (adults),East New York,5.37
Climate and Health,Independent living difficulty (adults),Sunset Park,4.47
Climate and Health,Independent living difficulty (adults),Borough Park,6.63
Climate and Health,Independent living difficulty (adults),East Flatbush - Flatbush,4.12
Climate and Health,Independent living difficulty (adults),Canarsie - Flatlands,5.66
Climate and Health,Independent living difficulty (adults),Bensonhurst - Bay Ridge,6.45
Climate and Health,Independent living difficulty (adults),Coney Island - Sheepshead Bay,10.07
Climate and Health,Independent living difficulty (adults),Williamsburg - Bushwick,5.46
Climate and Health,Independent living difficulty (adults),Washington Heights,5.48
Climate and Health,Independent living difficulty (adults),Central Harlem - Morningside Heights,5.66
Climate and Health,Independent living difficulty (adults),East Harlem,6.6
Climate and Health,Independent living difficulty (adults),Upper West Side,3.97
Climate and Health,Independent living difficulty (adults),Upper East Side,2.93
Climate and Health,Independent living difficulty (adults),Chelsea - Clinton,3.02
Climate and Health,Independent living difficulty (adults),Gramercy Park - Murray Hill,3.06
Climate and Health,Independent living difficulty (adults),Greenwich Village - SoHo,3.14
Climate and Health,Independent living difficulty (adults),Union Square - Lower East Side,5.46
Climate and Health,Independent living difficulty (adults),Lower Manhattan,2.97
Climate and Health,Independent living difficulty (adults),Long Island City - Astoria,4.7
Climate and Health,Independent living difficulty (adults),West Queens,3.7
Climate and Health,Independent living difficulty (adults),Flushing - Clearview,5.2
Climate and Health,Independent living difficulty (adults),Bayside - Little Neck,4.7
Climate and Health,Independent living difficulty (adults),Ridgewood - Forest Hills,5.17
Climate and Health,Independent living difficulty (adults),Fresh Meadows,4.92
Climate and Health,Independent living difficulty (adults),Southwest Queens,5.5
Climate and Health,Independent living difficulty (adults),Jamaica,5.51
Climate and Health,Independent living difficulty (adults),Southeast Queens,4.78
Climate and Health,Independent living difficulty (adults),Rockaways,7.2
Climate and Health,Independent living difficulty (adults),Port Richmond,4.44
Climate and Health,Independent living difficulty (adults),Stapleton - St. George,6.1
Climate and Health,Independent living difficulty (adults),Willowbrook,5.93
Climate and Health,Independent living difficulty (adults),South Beach - Tottenville,4.85
Climate and Health,Independent living difficulty (adults),Kingsbridge - Riverdale,5.65
Climate and Health,Independent living difficulty (adults),Northeast Bronx,5.96
Climate and Health,Independent living difficulty (adults),Fordham - Bronx Pk,6.32
Climate and Health,Independent living difficulty (adults),Pelham - Throgs Neck,6.41
Climate and Health,Independent living difficulty (adults),Crotona -Tremont,7.07
Climate and Health,Independent living difficulty (adults),High Bridge - Morrisania,7.28
Climate and Health,Independent living difficulty (adults),Hunts Point - Mott Haven,8.38
Climate and Health,Independent living difficulty (adults),Greenpoint,3.86
Climate and Health,Independent living difficulty (adults),Downtown - Heights - Slope,3.87
Climate and Health,Independent living difficulty (adults),Bedford Stuyvesant - Crown Heights,4.72
Climate and Health,Independent living difficulty (adults),East New York,5.36
Climate and Health,Independent living difficulty (adults),Sunset Park,4.67
Climate and Health,Independent living difficulty (adults),Borough Park,6.83
Climate and Health,Independent living difficulty (adults),East Flatbush - Flatbush,4.12
Climate and Health,Independent living difficulty (adults),Canarsie - Flatlands,5.55
Climate and Health,Independent living difficulty (adults),Bensonhurst - Bay Ridge,6.22
Climate and Health,Independent living difficulty (adults),Coney Island - Sheepshead Bay,10.02
Climate and Health,Independent living difficulty (adults),Williamsburg - Bushwick,5.01
Climate and Health,Independent living difficulty (adults),Washington Heights,5.47
Climate and Health,Independent living difficulty (adults),Central Harlem - Morningside Heights,5.8
Climate and Health,Independent living difficulty (adults),East Harlem,6.86
Climate and Health,Independent living difficulty (adults),Upper West Side,3.78
Climate and Health,Independent living difficulty (adults),Upper East Side,2.77
Climate and Health,Independent living difficulty (adults),Chelsea - Clinton,2.85
Climate and Health,Independent living difficulty (adults),Gramercy Park - Murray Hill,2.87
Climate and Health,Independent living difficulty (adults),Greenwich Village - SoHo,2.97
Climate and Health,Independent living difficulty (adults),Union Square - Lower East Side,5.44
Climate and Health,Independent living difficulty (adults),Lower Manhattan,2.76
Climate and Health,Independent living difficulty (adults),Long Island City - Astoria,4.33
Climate and Health,Independent living difficulty (adults),West Queens,3.48
Climate and Health,Independent living difficulty (adults),Flushing - Clearview,4.91
Climate and Health,Independent living difficulty (adults),Bayside - Little Neck,4.78
Climate and Health,Independent living difficulty (adults),Ridgewood - Forest Hills,5.23
Climate and Health,Independent living difficulty (adults),Fresh Meadows,4.76
Climate and Health,Independent living difficulty (adults),Southwest Queens,5.56
Climate and Health,Independent living difficulty (adults),Jamaica,5.35
Climate and Health,Independent living difficulty (adults),Southeast Queens,4.84
Climate and Health,Independent living difficulty (adults),Rockaways,7.87
Climate and Health,Independent living difficulty (adults),Port Richmond,4.66
Climate and Health,Independent living difficulty (adults),Stapleton - St. George,5.94
Climate and Health,Independent living difficulty (adults),Willowbrook,5.39
Climate and Health,Independent living difficulty (adults),South Beach - Tottenville,4.74
Climate and Health,Independent living difficulty (adults),Kingsbridge - Riverdale,5.88
Climate and Health,Independent living difficulty (adults),Northeast Bronx,6.21
Climate and Health,Independent living difficulty (adults),Fordham - Bronx Pk,6.07
Climate and Health,Independent living difficulty (adults),Pelham - Throgs Neck,6.43
Climate and Health,Independent living difficulty (adults),Crotona -Tremont,6.76
Climate and Health,Independent living difficulty (adults),High Bridge - Morrisania,7.16
Climate and Health,Independent living difficulty (adults),Hunts Point - Mott Haven,7.71
Climate and Health,Independent living difficulty (adults),Greenpoint,3.56
Climate and Health,Independent living difficulty (adults),Downtown - Heights - Slope,4.13
Climate and Health,Independent living difficulty (adults),Bedford Stuyvesant - Crown Heights,5
Climate and Health,Independent living difficulty (adults),East New York,5.61
Climate and Health,Independent living difficulty (adults),Sunset Park,4.59
Climate and Health,Independent living difficulty (adults),Borough Park,6.93
Climate and Health,Independent living difficulty (adults),East Flatbush - Flatbush,4.11
Climate and Health,Independent living difficulty (adults),Canarsie - Flatlands,5.97
Climate and Health,Independent living difficulty (adults),Bensonhurst - Bay Ridge,6.09
Climate and Health,Independent living difficulty (adults),Coney Island - Sheepshead Bay,9.54
Climate and Health,Independent living difficulty (adults),Williamsburg - Bushwick,4.81
Climate and Health,Independent living difficulty (adults),Washington Heights,5.39
Climate and Health,Independent living difficulty (adults),Central Harlem - Morningside Heights,5.57
Climate and Health,Independent living difficulty (adults),East Harlem,6.71
Climate and Health,Independent living difficulty (adults),Upper West Side,3.79
Climate and Health,Independent living difficulty (adults),Upper East Side,2.8
Climate and Health,Independent living difficulty (adults),Chelsea - Clinton,2.86
Climate and Health,Independent living difficulty (adults),Gramercy Park - Murray Hill,2.89
Climate and Health,Independent living difficulty (adults),Greenwich Village - SoHo,2.98
Climate and Health,Independent living difficulty (adults),Union Square - Lower East Side,5.62
Climate and Health,Independent living difficulty (adults),Lower Manhattan,3.07
Climate and Health,Independent living difficulty (adults),Long Island City - Astoria,4.42
Climate and Health,Independent living difficulty (adults),West Queens,3.54
Climate and Health,Independent living difficulty (adults),Flushing - Clearview,4.61
Climate and Health,Independent living difficulty (adults),Bayside - Little Neck,4.66
Climate and Health,Independent living difficulty (adults),Ridgewood - Forest Hills,5.17
Climate and Health,Independent living difficulty (adults),Fresh Meadows,4.54
Climate and Health,Independent living difficulty (adults),Southwest Queens,5.38
Climate and Health,Independent living difficulty (adults),Jamaica,5.35
Climate and Health,Independent living difficulty (adults),Southeast Queens,5.03
Climate and Health,Independent living difficulty (adults),Rockaways,7.92
Climate and Health,Independent living difficulty (adults),Port Richmond,4.6
Climate and Health,Independent living difficulty (adults),Stapleton - St. George,5.92
Climate and Health,Independent living difficulty (adults),Willowbrook,5.39
Climate and Health,Independent living difficulty (adults),South Beach - Tottenville,4.72
Climate and Health,Independent living difficulty (adults),Kingsbridge - Riverdale,5.54
Climate and Health,Independent living difficulty (adults),Northeast Bronx,6.51
Climate and Health,Independent living difficulty (adults),Fordham - Bronx Pk,5.92
Climate and Health,Independent living difficulty (adults),Pelham - Throgs Neck,7.01
Climate and Health,Independent living difficulty (adults),Crotona -Tremont,6.95
Climate and Health,Independent living difficulty (adults),High Bridge - Morrisania,7.27
Climate and Health,Independent living difficulty (adults),Hunts Point - Mott Haven,6.96
Climate and Health,Independent living difficulty (adults),Greenpoint,3.85
Climate and Health,Independent living difficulty (adults),Downtown - Heights - Slope,4.17
Climate and Health,Independent living difficulty (adults),Bedford Stuyvesant - Crown Heights,4.97
Climate and Health,Independent living difficulty (adults),East New York,5.96
Climate and Health,Independent living difficulty (adults),Sunset Park,4.4
Climate and Health,Independent living difficulty (adults),Borough Park,7.13
Climate and Health,Independent living difficulty (adults),East Flatbush - Flatbush,4.03
Climate and Health,Independent living difficulty (adults),Canarsie - Flatlands,6.17
Climate and Health,Independent living difficulty (adults),Bensonhurst - Bay Ridge,6.08
Climate and Health,Independent living difficulty (adults),Coney Island - Sheepshead Bay,9.57
Climate and Health,Independent living difficulty (adults),Williamsburg - Bushwick,4.76
Climate and Health,Independent living difficulty (adults),Washington Heights,5.64
Climate and Health,Independent living difficulty (adults),Central Harlem - Morningside Heights,5.71
Climate and Health,Independent living difficulty (adults),East Harlem,7.2
Climate and Health,Independent living difficulty (adults),Upper West Side,3.81
Climate and Health,Independent living difficulty (adults),Upper East Side,3.01
Climate and Health,Independent living difficulty (adults),Chelsea - Clinton,2.89
Climate and Health,Independent living difficulty (adults),Gramercy Park - Murray Hill,3.19
Climate and Health,Independent living difficulty (adults),Greenwich Village - SoHo,2.69
Climate and Health,Independent living difficulty (adults),Union Square - Lower East Side,5.71
Climate and Health,Independent living difficulty (adults),Lower Manhattan,2.69
Climate and Health,Independent living difficulty (adults),Long Island City - Astoria,4.52
Climate and Health,Independent living difficulty (adults),West Queens,3.99
Climate and Health,Independent living difficulty (adults),Flushing - Clearview,4.48
Climate and Health,Independent living difficulty (adults),Bayside - Little Neck,4.83
Climate and Health,Independent living difficulty (adults),Ridgewood - Forest Hills,5
Climate and Health,Independent living difficulty (adults),Fresh Meadows,4.38
Climate and Health,Independent living difficulty (adults),Southwest Queens,5.53
Climate and Health,Independent living difficulty (adults),Jamaica,5.32
Climate and Health,Independent living difficulty (adults),Southeast Queens,4.83
Climate and Health,Independent living difficulty (adults),Rockaways,7.78
Climate and Health,Independent living difficulty (adults),Port Richmond,4.99
Climate and Health,Independent living difficulty (adults),Stapleton - St. George,6.01
Climate and Health,Independent living difficulty (adults),Willowbrook,5.39
Climate and Health,Independent living difficulty (adults),South Beach - Tottenville,5
Climate and Health,Independent living difficulty (adults),Kingsbridge - Riverdale,5.83
Climate and Health,Independent living difficulty (adults),Northeast Bronx,7.04
Climate and Health,Independent living difficulty (adults),Fordham - Bronx Pk,6.04
Climate and Health,Independent living difficulty (adults),Pelham - Throgs Neck,7.33
Climate and Health,Independent living difficulty (adults),Crotona -Tremont,7
Climate and Health,Independent living difficulty (adults),High Bridge - Morrisania,7.46
Climate and Health,Independent living difficulty (adults),Hunts Point - Mott Haven,7.5
Climate and Health,Independent living difficulty (adults),Greenpoint,3.95
Climate and Health,Independent living difficulty (adults),Downtown - Heights - Slope,4.26
Climate and Health,Independent living difficulty (adults),Bedford Stuyvesant - Crown Heights,5.25
Climate and Health,Independent living difficulty (adults),East New York,5.98
Climate and Health,Independent living difficulty (adults),Sunset Park,4.65
Climate and Health,Independent living difficulty (adults),Borough Park,7.43
Climate and Health,Independent living difficulty (adults),East Flatbush - Flatbush,4.05
Climate and Health,Independent living difficulty (adults),Canarsie - Flatlands,6
Climate and Health,Independent living difficulty (adults),Bensonhurst - Bay Ridge,6.5
Climate and Health,Independent living difficulty (adults),Coney Island - Sheepshead Bay,9.64
Climate and Health,Independent living difficulty (adults),Williamsburg - Bushwick,4.87
Climate and Health,Independent living difficulty (adults),Washington Heights,6.29
Climate and Health,Independent living difficulty (adults),Central Harlem - Morningside Heights,5.9
Climate and Health,Independent living difficulty (adults),East Harlem,7.8
Climate and Health,Independent living difficulty (adults),Upper West Side,3.67
Climate and Health,Independent living difficulty (adults),Upper East Side,2.94
Climate and Health,Independent living difficulty (adults),Chelsea - Clinton,3.01
Climate and Health,Independent living difficulty (adults),Gramercy Park - Murray Hill,3.16
Climate and Health,Independent living difficulty (adults),Greenwich Village - SoHo,3.21
Climate and Health,Independent living difficulty (adults),Union Square - Lower East Side,6.03
Climate and Health,Independent living difficulty (adults),Lower Manhattan,2.85
Climate and Health,Independent living difficulty (adults),Long Island City - Astoria,4.53
Climate and Health,Independent living difficulty (adults),West Queens,4.24
Climate and Health,Independent living difficulty (adults),Flushing - Clearview,4.75
Climate and Health,Independent living difficulty (adults),Bayside - Little Neck,4.86
Climate and Health,Independent living difficulty (adults),Ridgewood - Forest Hills,4.91
Climate and Health,Independent living difficulty (adults),Fresh Meadows,4.82
Climate and Health,Independent living difficulty (adults),Southwest Queens,5.78
Climate and Health,Independent living difficulty (adults),Jamaica,5.55
Climate and Health,Independent living difficulty (adults),Southeast Queens,4.77
Climate and Health,Independent living difficulty (adults),Rockaways,8.45
Climate and Health,Independent living difficulty (adults),Port Richmond,4.92
Climate and Health,Independent living difficulty (adults),Stapleton - St. George,6.15
Climate and Health,Independent living difficulty (adults),Willowbrook,5.55
Climate and Health,Independent living difficulty (adults),South Beach - Tottenville,4.9
Climate and Health,Older adults living alone,Kingsbridge - Riverdale,33.68
Climate and Health,Older adults living alone,Northeast Bronx,26.13
Climate and Health,Older adults living alone,Fordham - Bronx Pk,33.75
Climate and Health,Older adults living alone,Pelham - Throgs Neck,29.64
Climate and Health,Older adults living alone,Crotona -Tremont,37
Climate and Health,Older adults living alone,High Bridge - Morrisania,37.32
Climate and Health,Older adults living alone,Hunts Point - Mott Haven,42.84
Climate and Health,Older adults living alone,Greenpoint,39.06
Climate and Health,Older adults living alone,Downtown - Heights - Slope,34.44
Climate and Health,Older adults living alone,Bedford Stuyvesant - Crown Heights,36.69
Climate and Health,Older adults living alone,East New York,22.8
Climate and Health,Older adults living alone,Sunset Park,25.22
Climate and Health,Older adults living alone,Borough Park,28.75
Climate and Health,Older adults living alone,East Flatbush - Flatbush,24.04
Climate and Health,Older adults living alone,Canarsie - Flatlands,24.23
Climate and Health,Older adults living alone,Bensonhurst - Bay Ridge,29.11
Climate and Health,Older adults living alone,Coney Island - Sheepshead Bay,32.1
